Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_to_City_km,Price
1769.0,2,3.0,30,21.6,226531.0
1733.0,3,1.0,33,7.8,200155.0
2425.0,3,2.0,13,1.9,303225.0
1046.0,5,3.0,19,0.7,222491.0
2247.0,1,2.0,21,2.7,270899.0
773.0,3,3.0,16,21.6,99076.0
1676.0,3,3.0,13,10.6,263611.0
1659.0,1,,6,21.1,204694.0
2477.0,4,3.0,33,12.7,363334.0
1792.0,1,,30,21.3,223650.0
1432.0,4,1.0,26,5.5,180849.0
2624.0,3,1.0,11,17.2,312725.0
2767.0,5,3.0,28,2.5,426565.0
1386.0,3,1.0,14,24.7,152393.0
2215.0,3,2.0,29,11.1,312313.0
1531.0,5,1.0,20,0.7,260366.0
1897.0,1,1.0,25,24.6,200729.0
1954.0,1,2.0,22,23.1,211962.0
1035.0,1,1.0,31,20.0,57110.0
1838.0,2,1.0,19,18.0,219441.0
1163.0,5,2.0,15,,269891.0
1206.0,5,2.0,13,15.8,222622.0
1525.0,3,2.0,7,23.8,229130.0
609.0,2,3.0,37,16.9,82057.0
914.0,4,2.0,0,14.0,183436.0
1939.0,4,3.0,18,21.3,233985.0
2186.0,1,1.0,5,5.9,249157.0
,1,3.0,15,15.4,297666.0
1522.0,1,2.0,31,5.5,184823.0
2218.0,5,3.0,5,12.6,333053.0
2741.0,4,2.0,6,2.1,454665.0
2507.0,4,1.0,30,13.5,307130.0
970.0,1,3.0,26,20.7,76921.0
752.0,3,1.0,20,0.8,93667.0
2042.0,3,2.0,8,12.1,285978.0
2547.0,2,3.0,39,22.2,291629.0
1786.0,5,1.0,14,20.6,219063.0
2372.0,3,1.0,19,22.6,254259.0
1947.0,4,1.0,9,6.4,269719.0
1934.0,4,3.0,35,21.2,263809.0
1978.0,2,2.0,32,2.8,273727.0
1932.0,2,2.0,27,19.9,236931.0
1546.0,2,1.0,3,6.9,260561.0
2907.0,3,2.0,19,6.0,353388.0
2352.0,2,2.0,38,16.8,286803.0
1465.0,3,1.0,25,2.8,265361.0
1629.0,5,1.0,7,9.5,260793.0
1175.0,4,1.0,29,18.0,142853.0
2088.0,1,1.0,9,23.8,226982.0
944.0,4,3.0,9,24.9,149636.0
1600.0,4,1.0,1,11.8,228724.0
2248.0,1,3.0,25,16.4,292944.0
2136.0,1,3.0,33,1.3,289041.0
2144.0,4,1.0,0,5.0,325811.0
1091.0,1,3.0,12,8.0,108065.0
2259.0,5,3.0,15,20.8,321719.0
1719.0,3,3.0,27,7.0,237170.0
2595.0,3,1.0,11,21.6,343811.0
1634.0,2,1.0,36,14.7,184876.0
2808.0,2,3.0,36,10.5,373868.0
2049.0,5,2.0,10,16.2,301114.0
2249.0,3,2.0,35,21.0,255144.0
1564.0,3,2.0,31,1.7,226682.0
1556.0,5,2.0,3,24.4,291376.0
