StudentID,Study_Hours,Attendance,Previous_Marks,Assignment_Score,Result
62,7.9,89.0,53.0,87.0,Fail
58,3.1,50.0,70.0,77.0,Fail
78,3.5,80.0,74.0,66.0,Fail
7,3.8,75.0,50.0,74.0,Fail
46,2.7,54.0,62.0,67.0,Fail
9,5.9,96.0,73.0,94.0,Pass
36,5.1,94.0,48.0,81.0,Pass
74,5.8,47.0,82.0,70.0,Pass
10,2.7,60.0,39.0,67.0,Fail
60,5.8,46.0,66.0,71.0,Pass
13,6.5,88.0,76.0,80.0,Pass
28,,62.0,46.0,61.0,Fail
35,5.2,75.0,47.0,85.0,Pass
64,4.8,70.0,59.0,74.0,Fail
48,5.3,95.0,72.0,76.0,Pass
55,5.9,65.0,50.0,,Fail
56,5.3,72.0,63.0,89.0,Fail
14,6.2,64.0,64.0,81.0,Pass
51,6.3,92.0,57.0,96.0,Pass
67,3.8,45.0,47.0,77.0,Fail
32,3.9,56.0,65.0,65.0,Fail
37,5.7,62.0,62.0,87.0,Pass
50,2.4,92.0,44.0,83.0,Pass
68,8.4,,73.0,87.0,Pass
26,5.2,87.0,67.0,76.0,Fail
17,6.6,54.0,48.0,81.0,Pass
79,3.4,78.0,35.0,70.0,Fail
5,5.0,93.0,80.0,68.0,Pass
12,4.0,69.0,75.0,72.0,Fail
72,6.0,59.0,63.0,81.0,Pass
24,,99.0,77.0,93.0,Pass
33,4.6,66.0,65.0,72.0,Pass
77,6.3,99.0,84.0,86.0,Pass
59,4.7,64.0,57.0,88.0,Fail
54,6.2,80.0,67.0,,Pass
49,1.3,91.0,41.0,66.0,Fail
19,4.9,,64.0,68.0,Pass
70,4.0,61.0,36.0,59.0,Pass
76,7.2,,73.0,69.0,Pass
29,4.6,62.0,52.0,78.0,Fail
66,3.2,79.0,39.0,81.0,Pass
71,6.1,93.0,59.0,91.0,Fail
31,4.6,99.0,45.0,71.0,Fail
69,2.6,46.0,30.0,58.0,Fail
38,8.1,72.0,67.0,95.0,Pass
16,2.5,95.0,48.0,57.0,Fail
53,7.4,74.0,,82.0,Fail
44,5.2,83.0,80.0,81.0,Pass
8,5.7,95.0,65.0,92.0,Pass
80,0.8,88.0,39.0,72.0,Fail
43,,75.0,77.0,69.0,Pass
30,3.7,57.0,44.0,,Pass
34,4.2,88.0,61.0,71.0,Pass
47,5.5,71.0,57.0,79.0,Pass
41,4.5,99.0,66.0,,Fail
6,4.3,88.0,62.0,67.0,Pass
63,3.3,66.0,37.0,78.0,Fail
52,6.5,70.0,74.0,74.0,Fail
2,4.4,64.0,58.0,62.0,Fail
61,1.5,87.0,45.0,66.0,Fail
3,3.9,64.0,51.0,64.0,Fail
23,6.6,95.0,73.0,65.0,Pass
65,9.7,98.0,97.0,99.0,Pass
18,8.5,52.0,85.0,67.0,Fail
27,6.6,87.0,78.0,88.0,Pass
15,2.1,68.0,,65.0,Fail
40,7.9,63.0,63.0,82.0,Pass
45,7.3,75.0,70.0,76.0,Pass
21,7.4,57.0,54.0,84.0,Fail
39,1.6,83.0,48.0,68.0,Fail
75,8.0,47.0,,77.0,Fail
11,3.1,77.0,49.0,55.0,Pass
42,2.3,46.0,71.0,57.0,Fail
20,,79.0,56.0,75.0,Pass
22,4.3,90.0,49.0,89.0,Fail
1,8.8,47.0,62.0,93.0,Fail
73,6.3,94.0,61.0,76.0,Fail
57,7.7,49.0,54.0,86.0,Fail
4,0.5,63.0,40.0,51.0,Fail
25,6.4,72.0,60.0,86.0,Pass
